market,sum( sales ),sum( cost ),avg_acos,campaignId,campaignName,adGroupId,adGroupName,promotedSku,new_campaignName,new_adGroupName
FR,49.98,1.74,0.034814,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039BLRD00LR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,49.98,0.4,0.008003,556378851007957,DeepBI_0509_m35,380132000953706,DeepBI_0509_m35,LPM17SS0035MT0300LR4,DeepBI_0507_m35,DeepBI_0507_DeepBI_0509_m35
FR,49.98,1.28,0.02561,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS00360BLK00LR4V3,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,49.98,0.16,0.003201,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS00360BLK0XLR4,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,48.73,2.28,0.046788,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS00350WHI00SR4V3,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,48.31,0.51,0.010557,556378851007957,DeepBI_0509_m35,380132000953706,DeepBI_0509_m35,LPM17SS0035MT010XLR4,DeepBI_0507_m35,DeepBI_0507_DeepBI_0509_m35
FR,48.31,1.89,0.039122,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035MT032XLR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,47.06,1.49,0.031662,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035MT0300LR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,47.06,1.21,0.025712,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035MT0300MR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,47.06,0.89,0.018912,556378851007957,DeepBI_0509_m35,380132000953706,DeepBI_0509_m35,LPM17SS0035MT032XLR4,DeepBI_0507_m35,DeepBI_0507_DeepBI_0509_m35
FR,46.64,0.46,0.009863,556378851007957,DeepBI_0509_m35,380132000953706,DeepBI_0509_m35,LPM17SS0035HGRY00LR4,DeepBI_0507_m35,DeepBI_0507_DeepBI_0509_m35
FR,46.64,0.68,0.01458,556378851007957,DeepBI_0509_m35,380132000953706,DeepBI_0509_m35,LPM17SS0035HGRY2XLR4,DeepBI_0507_m35,DeepBI_0507_DeepBI_0509_m35
FR,46.04,1.45,0.031494,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035MT0300SR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,45.48,1.34,0.029464,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035MT030XLR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,45.12,1.16,0.025709,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035HGRY2XLR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,45.11,0.41,0.009089,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS0036MUT100MR4V2,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,43.31,3.55,0.081967,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039BRHG2XLR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,41.64,0.52,0.012488,559286178488901,DeepBI_0509_L01,476226681767570,DeepBI_0509_L01,LPL16SS0001BURY2XLA1,DeepBI_0507_L01,DeepBI_0507_DeepBI_0509_L01
FR,41.64,4.46,0.107109,504816871181128,DeepBI_0509_L02,449528966392770,DeepBI_0509_L02,LPL16SS00020BLK00LA1,DeepBI_0507_L02,DeepBI_0507_DeepBI_0509_L02
FR,41.64,1.2,0.028818,504816871181128,DeepBI_0509_L02,449528966392770,DeepBI_0509_L02,LPL16SS00020NAY2XLA1,DeepBI_0507_L02,DeepBI_0507_DeepBI_0509_L02
FR,41.64,2.9,0.069645,504816871181128,DeepBI_0509_L02,449528966392770,DeepBI_0509_L02,LPL16SS00020PUR2XLA1,DeepBI_0507_L02,DeepBI_0507_DeepBI_0509_L02
FR,41.64,1.03,0.024736,504816871181128,DeepBI_0509_L02_overstock,449528966392770,DeepBI_0509_L02,LPL16SS0002DHGY00MB1,DeepBI_0507_L02_overstock,DeepBI_0507_DeepBI_0509_L02
FR,41.64,1.0,0.024015,504816871181128,DeepBI_0509_L02,449528966392770,DeepBI_0509_L02,LPL16SS0002DHGY00SA1,DeepBI_0507_L02,DeepBI_0507_DeepBI_0509_L02
FR,41.64,0.24,0.005764,366836223007357,DeepBI_0509_L52_overstock,300043914595103,DeepBI_0509_L52,LPL19SS0052DHGY00SB1,DeepBI_0507_L52_overstock,DeepBI_0507_DeepBI_0509_L52
