market,sum( sales ),sum( cost ),avg_acos,campaignId,campaignName,adGroupId,adGroupName,promotedSku,new_campaignName,new_adGroupName
FR,24.99,1.26,0.05042,559286178488901,DeepBI_0509_L01_overstock,476226681767570,DeepBI_0509_L01,LPL16SS00010NAY0XSA1,DeepBI_0507_L01_overstock,DeepBI_0507_DeepBI_0509_L01
FR,24.99,1.24,0.04962,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW00390BLK0XSR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,24.99,0.83,0.033213,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW00390NAY0XLR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,24.99,0.45,0.018007,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039BKWH0XSR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,24.99,0.78,0.031212,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039BRHG2XLR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,24.99,0.09,0.003601,289851750658803,DeepBI_0509_m19_overstock,358257668183375,DeepBI_0509_m19,LPM17SS0019WNST2XLR1,DeepBI_0507_m19_overstock,DeepBI_0507_DeepBI_0509_m19
FR,24.99,0.95,0.038015,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS00350BLK00MR4V2,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,24.99,0.98,0.039216,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS00350WHI0XLR4V2,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,24.99,0.93,0.037215,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035HGRY00SR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,24.99,1.0,0.040016,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035MT010XLR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,24.99,0.1,0.004002,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS00360BLK0XLR4,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,24.99,0.18,0.007203,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS00360BLK3XLR4,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,24.99,0.1,0.004002,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS00360WHI00SR4,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,24.99,0.09,0.003601,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS00360WHI0XLR4,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,24.99,0.08,0.003201,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS0036LHGY2XLR4,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,24.99,0.09,0.003601,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS0036LHGY3XLR4,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,23.32,2.36,0.101201,504816871181128,DeepBI_0509_L02_overstock,449528966392770,DeepBI_0509_L02,LPL16SS0002DHGY00MA1,DeepBI_0507_L02_overstock,DeepBI_0507_DeepBI_0509_L02
FR,23.32,3.6,0.154374,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS00350WHIXXLR4V3,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,23.32,0.91,0.039022,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035MT0100MR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,23.32,1.18,0.0506,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035MT0300LR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,23.32,1.09,0.046741,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035MT030XLR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,23.32,1.06,0.045455,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035MT032XLR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,23.32,0.09,0.003859,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS0036MUT23XLR4,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,21.43,0.04,0.001867,292723406411770,DeepBI_0509_M38 M39_overstock,447463352424095,DeepBI_0509_M38 M39,LPM17AW0038BKWH00LA1,DeepBI_0507_M38 M39_overstock,DeepBI_0507_DeepBI_0509_M38 M39
FR,21.43,0.04,0.001867,292723406411770,DeepBI_0509_M38 M39_overstock,447463352424095,DeepBI_0509_M38 M39,LPM17AW0038BLWT00SA1,DeepBI_0507_M38 M39_overstock,DeepBI_0507_DeepBI_0509_M38 M39
FR,21.43,0.05,0.002333,292723406411770,DeepBI_0509_M38 M39_overstock,447463352424095,DeepBI_0509_M38 M39,LPM17AW0038LGLB00MA1,DeepBI_0507_M38 M39_overstock,DeepBI_0507_DeepBI_0509_M38 M39
FR,21.43,0.05,0.002333,292723406411770,DeepBI_0509_M38 M39_overstock,447463352424095,DeepBI_0509_M38 M39,LPM17AW0038NBRD00MA1,DeepBI_0507_M38 M39_overstock,DeepBI_0507_DeepBI_0509_M38 M39
FR,21.05,1.02,0.048456,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035MT0300SR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
